,dimension5,transactionRevenue,revenuePerItem,itemQuantity
1,000b193b69a2165b529dfd294ffe5b01,3207,320.7,10
2,00297a9fae441831026342e614c317cb,1076,269,4
3,006fa2ae95385c2ce468e6a028aa97f3,10191,2059.06060606061,14
4,00894577f97cb14a7516e52d2552c3ff,1260,315,4
5,00a8d554ed4e645b30bdca8df5899f65,3205,356.111111111111,9
6,00a905fb74f39a2a1bdc32ab9bba3d93,3489,498.428571428571,7
7,00adcd873458b5168dffccd74da5ea61,1275,85,15
8,00ede7226612881bf5438aae4cd9fdb0,1193,397.666666666667,3
9,0106b0240a6217e96e8cd442410c8cc4,2858,476.333333333333,6
10,0108d84afda78e2b4e85ef8aee331593,3203,266.916666666667,12
11,0109de763288e7eb546afd8e3091120a,3973,567.571428571429,7
12,0112a69aa601ab9e24a7964b58caacda,6940,814.375,17
13,011a72d3bd450424178e286b1b832f59,3090,309,10
14,015ad4074b996b720b4e2438a21eb835,1003,334.333333333333,3
15,017d44719a14e7d9bcd7c690487fab9c,4035,403.5,10
16,01bf5939ba4871a1debfa17daee6b9e6,3391,847.75,4
17,01c20d6dc7a2d290880b6f03fd17edfc,1167,233.4,5
18,01ee4ccfdda864b931922c1a500ea96f,9248,420.363636363636,22
19,021429e2f0a6d24f3cbf4fe2768ac108,6588,244,27
20,022d49af0e5de5a29b7e635eb7a6079c,3248,812,4
21,023e522c6ce5c748d517b89c0e114a82,2491,311.375,16
22,0291e2954988a91baae3e223708d39b1,1281,427,3
23,029e990d871addf05dcc9dd22b69df8f,2809,401.285714285714,7
24,02a3112126f9b882bfa0bede93ad3e65,2782,278.2,10
25,02ce317a6fe5aafe49ac5e95f4cf00bb,1043,260.75,4
26,02e22a92a683df75041df4d378451a2c,1526,508.666666666667,3
27,02e747a92649454ce94f6fb6754ee75b,7541,443.588235294118,17
28,02e88b1761787bb91a29345e53cb87ac,1179,1179,1
29,02f798df57537c4cbffb785988d6cde4,2070,188.181818181818,11
30,030981ef99b05b0756f56b71059ab7cd,2319,2319,1
